District,Taluka,UC,Deh,Settlement,Latitude,Longitude,Sensitive Receptor (within 200m),SMP,
Badin,Tandobago,Khan Bahadur Mir ghulam Muhammad Talpur,Kal 1,Hashim samejho,24.7333626,68.9914315,Mosque Primary school,NRSP,
Badin,Matli,Dumbalo,Gupalo,Abdul Rehman halepto kholi para,25.1676679,68.9218739,"School, Naser canal, Mander ",NRSP,
Badin,Matli,Dumbalo,Gupalo,Khan muhammad panhwar,25.1673362,68.961765,school mosque Naseer canal,NRSP,
Badin,Matli,Tando ghulam ali,darari,Jagsi bheel,25.153696,68.9199751,school nasser canal,NRSP,
Badin,Talhar,Peero lashari,Rebhan,Haji Khan pathan,24.6862823,68.8000484,Mosque canals,NRSP,
Badin,Tando bago ,Saman sarkar ,Phull ,Haji jalal ,24.8604249,69.2263853,Mosque ,NRSP,
Badin,Tando bago ,Khairpur ,Khairpur ,Ragho Mall bheel ,24.888417,69.2509174,Temple,NRSP,
Badin,Tando bago ,Gaad@hayatkhaskeli ,Bhiryoon ,Porho bheel ,24.9172583,69.2769667,Temple ,NRSP,
Badin,Badin,Dargha Yousif Shah,Borandi,Saleh Parhyar,24.7178731,68.8603004,Saleh Parhyar School,NRSP,
Badin,Matli ,Tharo Kot,Juneja ,Tagji kholi ,25.050217,69.0117884,school mandar Nasser canal,NRSP,
Badin,Shaheed Fazil rahu,Fateh abad,Jakurji 1,Mirza form besro kohli,24.6258668,68.7293038,Worship place( mandir),NRSP,
Badin,Tando bago ,Khairpur ,Khairpur ,Jiyand lighari ,24.8943283,69.2443991,School ,NRSP,
Badin,Tando bago ,Oliya jarkas ,Dai jarkas ,Haji din muhammad kamboh ,24.7380693,69.2272423,School ,NRSP,
Badin,Matli,Malhan,Malhan,Leemon Bheel,25.0769784,68.7230822,"Mandir, School",NRSP,
Badin,TANDOBAGO ,Phaar Maari ,Kak 03,Kaman Sarki,24.68115,69.0088925,River Lake,NRSP,
Badin,Shaheed fazal raho,Khandiyari,Mithoo daboo,Allah dino sheik chak no 15,24.6943369,68.5843307,Mosque,NRSP,
Badin,Badin,Dargha Yousif Shah,Moro,Bachal Pathan,24.7333117,68.8682983,Bachal Pathan School,NRSP,
Badin,Badin,Muhammad Khan Burghari,Bakho khudi,Nabi Bux Burghari,24.6045546,68.8825838,Nabi Bux Burghari Masjid,NRSP,
Badin,Tandobago,Pahar mari,Khirdayi Rayati,Laj Bhariyo,24.7429585,68.983582,School,NRSP,
Badin,Matli,Tharo Kot,Gharo sir mast,Hussain arani,25.0654482,68.963397,school mosque Amrlo canal,NRSP,
Badin,Shaheed Fazil Rahu,Tarai,Miniyoon,Mithan Rahukro,24.6543485,68.6778728,"Mosque, school, hospital",NRSP,
Badin,Shaheed Fazil Rahu,Fateh abad,Jakheji,Harchand Kolhi,24.5561319,68.7056774,"School, warship place, Morjhar Canal",NRSP,
Badin,Shaheed Fazil raho,Kandiyari,Patial,Allah dino Jalalani chak 20,24.6604705,68.621035,"School, mosque",NRSP,
Badin,Shaheed  fazil raho,Jhol,Agri,Haji ghazi kumbhar,24.8154249,68.5426932,"School, Masque,",NRSP,
Badin,Matli,Chatto madrani,khabrlo,Taj muhammad juenjo,25.0422889,69.0167373,school mosque Dispensary,NRSP,
Badin,Talhar,Peeru lashari,Golari,AHESAN SHAH,24.6866196,68.7999131,Mosque,NRSP,
Badin,Shaheed fazal raho,Fatehabad,Khiryoon bataro,Sher muhammad nohrio,24.6016203,68.6191781,Mosque,NRSP,
Badin,Shaheed fazaul rahoo ,Dargha Shareef Ahmed rajo ,Girhari No.1,Chak47,24.4398718,68.5191328,"Mosque, School, ",NRSP,
Badin,Shaheed fazaul rahoo,Dargha Ahmed rajo,Rari no.4,Chak28,24.4657517,68.4882256,School Mosque,NRSP,
Badin,Matli,Ghazi Khan Chang,Chakra,Ali Muhammad nohrio,25.2402978,68.9057713,School mosque Naseer canal,NRSP,
Badin,Matli,Dumbalo,Kalwari,Agha shaib,25.1560833,68.973435,Nasser canal,NRSP,
Badin,Shaheed Fazul Rahu,Khorwah Chowk,Fatehpur,Mamtaz shek,24.6397758,68.4108544,School.hospital.mosque.worship.place,NRSP,
