UID,district,taluka,uc,scheme_name,type_of_scheme,scheme_category,population,status,lat,lon,contractor
358,NODISTRICT,,,Remodeling and Rehabilitation of Danister Tail Regulator and Regulator for 10 Phats (Minors) Danister Canal (Civil Works),Irrigation,,,On-going ,26.442222,67.698889,M/s Saeed Khan Construction Co
359,NODISTRICT,,,Rehabilitation of Dhoro Puran (RD 110+000 to RD 143+330),Irrigation,,,On-going ,24.510111,69.155558,M/S MBC & Sons 
360,NODISTRICT,,,Rehabilitation of Dhoro Puran (RD 143+330 to RD 176+400),Irrigation,,,On-going ,24.555903,69.231292,M/S MBC & Sons 
361,NODISTRICT,,,Rehabilitation of Dhoro Puran (RD 176+400 to RD 210+000),Irrigation,,,On-going ,24.621514,69.2433,M/S MBC & Sons 
362,NODISTRICT,,,Rehabilitation of Dhoro Puran (RD 210+000 to RD 222+130) and Main Drain (RD 212+300 to RD 217+600),Irrigation,,,On-going ,24.6786,69.217192,M/S MBC & Sons 
363,NODISTRICT,,,Rehabilitation of Outfall Structure at RD 210+000 of Dhoro Puran,Irrigation,,,On-going ,24.679658,69.216183,M/S MBC & Sons 
364,NODISTRICT,,,Rehabilitation of Retaining Wall (3RDs along Danistar Canal (Bubak/ Miani Town),Irrigation,,,Completed,26.445022,67.718261,M/s Haji Basheer Ahmed Soomro
365,NODISTRICT,,,Remodeling of Shaheed Benazirabad Storm Water Drain (RD 16+556 TO RD 39+590),Irrigation,,,Completed,26.232556,68.363856,M/s Mumtaz Builders
366,NODISTRICT,,,Remodeling  of Shaheed Benazirabad Storm water Drain (RD 0+000 to RD 16+556),Irrigation,,,Completed,26.197028,68.332739,M/s MDS & CO
367,NODISTRICT,,,Rehabilitation of FP BUND (RD 0+000 TO RD 20+000 & RD 75+000 TO RD 160+000),Irrigation,,,On-going ,26.509478,67.623992,M/s Haji Basheer Ahmed Soomro
368,NODISTRICT,,,Rehabilitation of FP BUND (RD210+000 to 265+000),Irrigation,,,On-going ,26.94,67.641944,M/s Saeed Khan Construction Company
369,NODISTRICT,,,Rehabilitation of FP BUND (RD265+000 to 325+000),Irrigation,,,On-going ,27.206393,67.597207,M/s Saeed Khan Construction Company
370,NODISTRICT,,,Rehabilitation of Old Waterway to Desert of Khairpur,Irrigation,,,Completed,26.671389,68.437222,M/s Abdul Hakeem Chachar
371,NODISTRICT,,,"Rehabilitation of Gates in Aral Head Regulator, Danister Tail Regulator and 10 Phats (Minors) Regulators",Irrigation,,,On-going ,26.442297,67.699019,M/s Thadani Enterprises 
372,NODISTRICT,,, Rehabilitation of Talpur Wada Pumping Station And Water Carrier Drain ,Irrigation,,,On-going ,27.184525,68.592519, M/s Shaikh Associate & Construction Co 
373,NODISTRICT,,, Rehabilitation of G & F Pumping Station ,Irrigation,,,On-going ,27.134008,68.422767, M/s Shaikh Associate & Construction Co 
374,NODISTRICT,,, Rehabilitation of Karampur Ring Bund ,Irrigation,,,On-going ,26.466491,67.849836, M/s MS & Company 
375,NODISTRICT,,,PACKAGE No.1- LOT NO.1 FLOOD DETENTION DAM LAT- 01 (DD/W-L01 ALONG LAT NAI),Irrigation,,,On-going,25.152778,67.231389,M/S Abdul Ghaffar Memon
376,NODISTRICT,,,PACKAGE No.1- LOT NO.2 FLOOD DETENTION DAM LAT- 02 (DD/W-L02 ALONG LAT NAI),Irrigation,,,On-going,25.146119,67.247778,M/S Al Ramzan Construction Company
377,NODISTRICT,,,PACKAGE No.2- LOT NO.1 FLOOD DETENTION DAM LAT- 03 (DD/W-L03 ALONG LAT NAI),Irrigation,,,On-going,25.107622,67.241417,M/S Niaz Muhammad Khan Brothers
378,NODISTRICT,,,PACKAGE No.2- LOT NO.2 FLOOD DETENTION DAM LAT- 04 (DD/W-L04 ALONG LAT NAI),Irrigation,,,On-going,25.3625,67.470833,M/S Thadani Enterprises
379,NODISTRICT,,,PACKAGE NO.3- FLOOD DETENTION DAM MOLE- 02 (DD/W- M02 ALONG MOLE NAI),Irrigation,,,On-going,25.641506,67.415781,M/S Thadani Enterprises
380,NODISTRICT,,,PACKAGE NO.4- LOT NO.1 FLOOD DETENTION DAM MOLE- 03 (DD/W- M03 ALONG MOLE NAI),Irrigation,,,On-going,25.565208,67.438178,M/S MDS & CO
381,NODISTRICT,,,PACKAGE NO.4- LOT NO.2 FLOOD DETENTION DAM MOLE- 04 (DD/W- M04 ALONG MOLE NAI),Irrigation,,,On-going,25.520319,67.443833,M/S Saeed Khan Construction Company
382,NODISTRICT,,,PACKAGE NO.5- LOT NO.1 FLOOD DETENTION DAM MOLE- 05 (DD/W- M5 ALONG MOLE NAI),Irrigation,,,On-going,25.477056,67.478761,M/S Mumtaz & Co
383,NODISTRICT,,,PACKAGE NO.5- LOT NO.2 FLOOD DETENTION DAM MOLE- 06 (DD/W- M6 ALONG MOLE NAI),Irrigation,,,On-going,25.402597,67.446961,M/S Noor ul Haq & Bothers
384,NODISTRICT,,,PACKAGE NO.6- LOT NO.1 FLOOD DETENTION DAM MOLE- 07 (DD/W- M7 ALONG MOLE NAI),Irrigation,,,On-going,25.377422,67.43325,M/S Haji Bashir Ahmed Soomro
385,NODISTRICT,,,PACKAGE NO.6- LOT NO.2 FLOOD DETENTION DAM MOLE- 08 (DD/W- M8 ALONG MOLE NAI),Irrigation,,,On-going,25.246389,67.478889,M/S MDS & CO
386,NODISTRICT,,,Rehabilitation of Shikarpur Branch Drain System,Irrigation,,,On-going,27.942867,68.552572,M/s Haji Sultan Ahmed Katto & Sons
387,NODISTRICT,,,Rehabilitation of Suprio Bund,Irrigation,,,On-going,27.105336,67.674081,M/S Mumtaz & Co
388,NODISTRICT,,,Rehabilitation of Pharho Escape from RD 0+000 to 30+000 Both Sides in Khairpur Gambo Sub Division of Nasir Division,Irrigation,,,On-going,24.959239,69.197656,M/s Orient Engineering Works
389,NODISTRICT,,,Raising & Rehabilitation (Earthwork) along Oderolal Escape from RD 0+000 TO 71+000 NIP SIDE i/c Installation of New Gates to incease capacity of water to enable escape discharge in Indus River.,Irrigation,,,On-going,25.644942,68.561106,M/S Thadani Enterprises
390,NODISTRICT,,,Rehabilitation/ Construction of Additional Outfall Regulator Along Ochitto Outfall Drain and Leading Channel,Irrigation,,,On-going,24.201739,67.521978,M/S Thadani Enterprises
391,NODISTRICT,,, Rehabilitation of Ruk Loop Bund ,Irrigation,,,On-going,27.794625,68.673806, M/s Sardar Mohammad Ashraf D.Baluch (Pvt) Ltd 
392,NODISTRICT,,, Rehabilitation/Re-Construction of Regulator Mile 44th of Desert Canal ,Irrigation,,,On-going,28.424933,68.869056,M/s Al-Ramzan Construction Company
393,NODISTRICT,,,Rehabilitation  of Irrigation Works on Johi Branch,Irrigation,,,On-going,27.009444,67.680278,M/s Thadani Enterprises 
